title,rating,reviews,url,asin,updated,review_id,reviewer_name,review_title,review_rating,review_date,review_location,review_content,review_verified,review_helpful,timestamp
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R2ZM3CL54732RU,Eva,Excellent on a good day but slightly erratic quality,4.0 ,26 October 2020,the United Kingdom,"I bought two of these at the same time. One is absolutely brilliant the other has the lining sewn inside out which makes it a little itchy hence the 4 star review. Excellent fit, wash well and the adjustable straps make it suitable for taller people.  Great for those on the more flat chested size- probably not very supportive if not.",Verified Purchase,,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,RP02JODKOAALW,Alex,"Good quality, basic bra",4.0 ,5 July 2021,the United Kingdom,"Lovely bra, perfect if you’re not a fan of underwire. Good quality, as always from this brand. The elastic pinches a little at first, but loosens after the first wash.",Verified Purchase,2,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R2QXV6Z4B3DJFG,OzLemW,Small,3.0 ,25 April 2021,the United Kingdom,It’s very small. I’ll give it to my daughter. Maybe I order a 12 and give it another try.,Verified Purchase,One,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R2C8ZW0TVNREQT,Kari,Comfortable bra,5.0 ,28 January 2020,the United Kingdom,I wanted eco friendly underwear. I bought this in my usual size and it fits really well. Very comfortable and would buy more.,Verified Purchase,,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R3AG9S88GDB1ZJ,Magdalene,Quality,5.0 ,1 September 2020,the United Kingdom,Soft and good quality material but rather on the small side. Had to go one size up,Verified Purchase,,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R3UYGNHRC2OIZZ,Magdalene,Quality,5.0 ,9 March 2020,the United Kingdom,Looks a good quality! Tried the bra on and it seems pretty comfortable 👌,Verified Purchase,,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R3KG3DZC2SBH6R,UncleanToaster,95% organic cotton & GOTS certificate,5.0 ,6 January 2021,the United Kingdom,It is comfortable and fits well. It has GOTS certificate lable as advertised.,Verified Purchase,One,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R3EHJCKBHPGYTO,Amazon Customer,Delighted with it,5.0 ,28 December 2020,the United Kingdom,I loved this. Better than expected. So happy with it x,Verified Purchase,One,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R1G9WCPAQL22JL,Miss S Dalton,I will be buying more!,5.0 ,27 September 2020,the United Kingdom,"Comfortable, supportive.  FAB!",Verified Purchase,,2022-04-08T18:54:26Z
Peopletree Women's Organic Soft Non-Wired Bra Top,3.7 ,37,https://www.amazon.co.uk/Peopletree-Womens-Organic-Wireless-Almond/dp/B07J32HVT6,B07J32HVT6,2022-04-08T20:54:24Z,R4DXU3O2JWTBU,LoisJP,Excellent quality,5.0 ,24 March 2021,the United Kingdom,"Size 16 was a tiny bit small but lovely bras. Amazing material so comfy, managed to stretch a little which helped. Bought more as love them",Verified Purchase,One,2022-04-08T18:54:26Z
